timesteps,ALB,AUT,BEL,BGR,BIH,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MKD,MNE,NLD,NOR,POL,PRT,ROU,SRB,SVK,SVN,SWE
2016-01-01 00:00:00,2.1841834,2.127236,2.5882454,2.0768003,2.1682634,2.2612557,2.9232366,2.1170912,2.280614,2.4358602,2.9207792,2.124229,2.1370633,2.6635313,2.3805096,2.3048162,2.246916,2.1537538,2.2794049,2.4915748,1.9549485,2.337424,2.0188274,2.0964627,2.1423588,2.640326,2.2504795,2.077123,3.029787,2.0957267,2.1489618,2.071932,2.1488929,2.17905
2016-01-01 01:00:00,2.1852872,2.127066,2.5738945,2.0694883,2.16881,2.2558324,2.9183133,2.1178167,2.2712154,2.432305,2.9107358,2.128345,2.1351247,2.6489449,2.3517275,2.3062901,2.2475057,2.1464121,2.2910197,2.4903316,1.9561639,2.3158822,2.0188339,2.0934937,2.146377,2.6547167,2.252288,2.0748582,3.017688,2.090226,2.146043,2.0731852,2.1461864,2.1804998
2016-01-01 02:00:00,2.1878042,2.1260645,2.5567896,2.0619304,2.1686587,2.2535295,2.912406,2.1192756,2.2646143,2.4218128,2.9050086,2.130042,2.133387,2.6359515,2.3328862,2.294457,2.2470734,2.1389837,2.308683,2.4890382,1.9606899,2.2966504,2.0196993,2.089489,2.1500459,2.6603544,2.2519698,2.073522,3.007976,2.083985,2.1416135,2.07706,2.142272,2.1810274
2016-01-01 03:00:00,2.1913567,2.1254592,2.54373,2.0551093,2.1677713,2.2514396,2.8987827,2.122045,2.2650936,2.4075289,2.904569,2.1302009,2.1311345,2.6240437,2.3276675,2.3023336,2.2456088,2.1325479,2.3317063,2.4858665,1.9661888,2.300787,2.021423,2.0841656,2.156711,2.6294274,2.2511652,2.0706978,3.0026114,2.0774295,2.1377423,2.0802891,2.141023,2.182935
2016-01-01 04:00:00,2.1946623,2.1249454,2.5353022,2.0495245,2.1675394,2.2514336,2.8766866,2.1230488,2.2648423,2.395232,2.906555,2.1281054,2.1281965,2.6176376,2.331861,2.289551,2.2443707,2.1275167,2.3632796,2.4808738,1.9736042,2.3123004,2.02455,2.078209,2.164266,2.6053646,2.2487729,2.0679672,3.0029244,2.0712495,2.133946,2.0817707,2.1422875,2.182896
2016-01-01 05:00:00,2.2011514,2.1242034,2.5237544,2.044575,2.1671593,2.2476373,2.882227,2.122009,2.2667854,2.3900995,2.9085493,2.1248076,2.1252077,2.6086144,2.3415923,2.2726715,2.2444866,2.1238854,2.4097035,2.4765627,1.9845369,2.318803,2.031343,2.0747626,2.169247,2.5988069,2.2480786,2.0655968,3.0091918,2.065121,2.130388,2.0810187,2.145167,2.1822436
2016-01-01 06:00:00,2.221056,2.1231098,2.4965422,2.0739098,2.1660213,2.2356367,2.9158185,2.1209676,2.2702196,2.3935897,2.9114015,2.1202736,2.1211896,2.5925887,2.3556633,2.3156419,2.2459443,2.1224227,2.4622452,2.476699,1.9965445,2.32116,2.0404756,2.0848749,2.1754386,2.6036093,2.2453437,2.06438,3.0386214,2.0807343,2.1335206,2.0798252,2.1471856,2.1836534
2016-01-01 07:00:00,2.2803452,2.1212373,2.4649603,2.1457875,2.155733,2.224518,2.9432771,2.1227536,2.2768698,2.4032128,2.9198837,2.1177537,2.1172836,2.580212,2.371354,2.399302,2.2526386,2.1516638,2.5121555,2.5166345,2.0170686,2.3289883,2.0522351,2.1410437,2.2119608,2.5994275,2.2353578,2.0790844,3.0762968,2.1284971,2.1577444,2.1039186,2.1374998,2.189281
2016-01-01 08:00:00,2.3858821,2.1256108,2.479224,2.1611583,2.1265225,2.2804053,2.96937,2.133632,2.324161,2.418311,2.9835703,2.1232367,2.1151533,2.6252313,2.3947875,2.4583619,2.266322,2.1789086,2.5658479,2.6139417,2.061481,2.3573518,2.0773666,2.1741557,2.2632635,2.5911622,2.2263017,2.1120782,3.1275425,2.1523652,2.1532032,2.146871,2.126926,2.1951642
2016-01-01 09:00:00,2.5055146,2.1482475,2.5469604,2.1304948,2.151014,2.3690276,2.985183,2.1461723,2.3883088,2.4372337,3.074892,2.126116,2.1145399,2.6998262,2.4493253,2.5303135,2.2848353,2.155212,2.621521,2.7304454,2.0914073,2.4054382,2.1045578,2.1441934,2.3427877,2.6460009,2.225656,2.138063,3.204304,2.150859,2.1281338,2.163889,2.1484005,2.2016144
2016-01-01 10:00:00,2.5996466,2.2012124,2.626755,2.1219852,2.22162,2.4731185,2.9894795,2.1653874,2.450458,2.4613807,3.1716762,2.1257875,2.1124353,2.7845626,2.5120056,2.5933502,2.3208985,2.1388443,2.6827273,2.8416827,2.1035516,2.4736705,2.1222007,2.1341245,2.4282835,2.701096,2.2349038,2.1436193,3.2865775,2.1467144,2.1435235,2.1447914,2.224289,2.2047331
2016-01-01 11:00:00,2.646635,2.2695117,2.7162168,2.127605,2.2575455,2.5761344,2.9891844,2.1888235,2.50904,2.4854615,3.2552633,2.1236823,2.1070378,2.8591013,2.5724447,2.640067,2.3570666,2.133085,2.7418687,2.9115906,2.1070824,2.5460176,2.1292465,2.1554875,2.4699984,2.7464879,2.240027,2.1433256,3.3545976,2.1471083,2.1625664,2.1322265,2.335648,2.2052474
2016-01-01 12:00:00,2.6467855,2.3026,2.7889876,2.1284919,2.2480307,2.6296911,2.9799542,2.2031593,2.5448394,2.4952505,3.3127637,2.1175578,2.1001651,2.915603,2.6238575,2.6568525,2.372047,2.1327443,2.7829425,2.9354892,2.0998275,2.609579,2.1228359,2.1686895,2.4760227,2.7624621,2.235345,2.142266,3.4141493,2.1470425,2.1612098,2.1288693,2.3958013,2.2013898
2016-01-01 13:00:00,2.5988135,2.2667632,2.814839,2.1209848,2.2119954,2.612583,2.951128,2.1802168,2.5441866,2.4713883,3.339498,2.106674,2.0944874,2.9442835,2.6529324,2.6332555,2.3614461,2.13433,2.8124297,2.920188,2.0791934,2.6424334,2.107866,2.15262,2.4345217,2.7534213,2.2211328,2.1399114,3.4280193,2.145715,2.1385596,2.1332545,2.3638449,2.1913803
2016-01-01 14:00:00,2.4759512,2.164941,2.789149,2.1434968,2.1559284,2.478326,2.881611,2.1203873,2.4795942,2.4196408,3.3414414,2.0964303,2.08804,2.9234612,2.652924,2.5257943,2.3107107,2.1413605,2.8395512,2.8421357,2.0570524,2.6163552,2.0941746,2.1267273,2.3405182,2.7147553,2.2035077,2.1337252,3.4007795,2.1516526,2.1228242,2.147234,2.2164278,2.1812484
2016-01-01 15:00:00,2.4228172,2.1171725,2.7165537,2.1658986,2.1287045,2.2786548,2.8088048,2.1157782,2.3855572,2.4134293,3.3124049,2.084279,2.0812821,2.8439329,2.6482327,2.4358778,2.2801366,2.1506732,2.8699543,2.7019494,2.045874,2.5032961,2.0871308,2.1346805,2.3020446,2.6590765,2.18847,2.1225936,3.338939,2.1472788,2.1343627,2.1450849,2.148159,2.1768126
2016-01-01 16:00:00,2.4273224,2.1135263,2.6782258,2.1710024,2.1278331,2.215498,2.7802963,2.1167455,2.3580313,2.439081,3.2384546,2.0724702,2.0740552,2.7807868,2.6588151,2.427407,2.2764256,2.1554515,2.8986228,2.6392794,2.0406227,2.4704409,2.0811455,2.142228,2.303804,2.6452074,2.1761868,2.1130543,3.2718606,2.1408215,2.1374679,2.1372814,2.1394851,2.1748679
2016-01-01 17:00:00,2.4147627,2.1113274,2.643082,2.1700587,2.1312237,2.1976662,2.7573113,2.117058,2.3318527,2.4311833,3.1852543,2.0608842,2.0666914,2.7602663,2.6767192,2.433456,2.2733896,2.159485,2.9155202,2.606916,2.0376632,2.4522684,2.074739,2.146802,2.3068364,2.6294038,2.1678495,2.1039557,3.2036576,2.134179,2.141229,2.1310132,2.1325004,2.1704216
2016-01-01 18:00:00,2.4028826,2.1101987,2.6112938,2.1650538,2.1353724,2.1882772,2.7331488,2.1178925,2.306015,2.3761208,3.1649225,2.0447345,2.0605683,2.7514534,2.6927671,2.4322445,2.270332,2.162781,2.918065,2.582483,2.0359395,2.4319193,2.0685408,2.149671,2.3060253,2.6122136,2.162916,2.094709,3.1644702,2.1243167,2.1449902,2.124288,2.1247702,2.164437
2016-01-01 19:00:00,2.3926928,2.1097844,2.5827045,2.1590486,2.1384876,2.1773207,2.7059352,2.119403,2.2842603,2.348515,3.1477876,2.0252194,2.0546305,2.749306,2.7069583,2.4303515,2.2664561,2.1650262,2.9082246,2.5624325,2.0349143,2.4116404,2.0628564,2.1522102,2.3053877,2.5981433,2.1595914,2.0867484,3.14114,2.1116328,2.1486168,2.1131246,2.120703,2.1567457
2016-01-01 20:00:00,2.3841302,2.1129224,2.5577135,2.155557,2.1404376,2.1670313,2.677946,2.121157,2.267312,2.3603342,3.1271486,2.0056772,2.048225,2.7534926,2.7208047,2.4246078,2.263703,2.1658823,2.8985305,2.5428622,2.0345898,2.390908,2.0573719,2.156993,2.3052604,2.5856533,2.1573875,2.0799708,3.122006,2.0989916,2.152426,2.1035507,2.1216927,2.1479788
2016-01-01 21:00:00,2.3904064,2.1157691,2.5456467,2.1532145,2.140972,2.1622531,2.659651,2.1237142,2.249987,2.3688538,3.1075778,1.9926951,2.0388472,2.7601175,2.7327867,2.4283068,2.2636607,2.1623335,2.891978,2.5291092,2.028175,2.3751116,2.0512934,2.161815,2.3078732,2.5701325,2.1555486,2.0747423,3.1076376,2.0890744,2.1553822,2.0960083,2.1222067,2.1384451
2016-01-01 22:00:00,2.3983974,2.1180236,2.5389342,2.1499894,2.1421585,2.157187,2.6519744,2.1266954,2.238834,2.3596346,3.0835483,1.9823256,2.0297413,2.7627957,2.7443886,2.4434826,2.267809,2.1622667,2.8928442,2.522795,2.0163887,2.3523095,2.041596,2.1645472,2.3069715,2.5616333,2.155603,2.070615,3.0850585,2.0817795,2.157551,2.0890183,2.1232388,2.1315002
