timesteps,ALB,AUT,BEL,BGR,BIH,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MKD,MNE,NLD,NOR,POL,PRT,ROU,SRB,SVK,SVN,SWE
2016-01-01 00:00:00,0.0026478048,0.0061746286,0.012163273,0.008894445,0.0015507789,0.010260508,0.0042997445,0.015478774,0.04298181,0.0023853763,0.021336146,0.003137729,0.027627494,0.10017448,0.046271395,0.024779791,0.0037508472,0.004329125,0.002377078,0.049733113,0.0012336757,0.00085907197,0.0014378334,0.0026879748,0.0020133944,0.0081763705,0.031317756,0.034684904,0.0069419416,0.0014823466,0.007526276,0.0055331234,0.0022622258,0.032911744
2016-01-01 01:00:00,0.0027639458,0.00642118,0.012859761,0.009135349,0.0016427771,0.010793123,0.0044162017,0.015993983,0.045492817,0.0025407218,0.022744669,0.0031918692,0.027908107,0.106464155,0.049687132,0.026009051,0.0039446964,0.0045083924,0.0025339727,0.052184623,0.0012905907,0.00090949703,0.001479575,0.0027695957,0.0020719396,0.008976487,0.032401692,0.035583813,0.0072453087,0.0015630458,0.0078102835,0.005703871,0.0023610827,0.034082256
2016-01-01 02:00:00,0.0028102433,0.00647579,0.013134044,0.009208709,0.0016206816,0.010994386,0.004598142,0.016234623,0.046161514,0.002592644,0.023449078,0.003236294,0.0282746,0.10834322,0.050804004,0.02657322,0.0039979843,0.0044857897,0.0025676186,0.05359987,0.001303714,0.0009339669,0.0014909153,0.0028129937,0.0021090703,0.009249057,0.032990757,0.036103837,0.0076534534,0.0015869997,0.007835268,0.0057874275,0.0023957763,0.03480778
2016-01-01 03:00:00,0.0030276752,0.006921808,0.014479197,0.009777222,0.0017423917,0.011801654,0.005157315,0.017300291,0.049507886,0.0027771106,0.02588725,0.0034477122,0.029841404,0.11937804,0.055403803,0.028529579,0.004270487,0.004808168,0.0028127227,0.057968613,0.001378395,0.0009994926,0.00159539,0.0029925955,0.0022442718,0.010045167,0.035237234,0.038608275,0.00854776,0.0016826115,0.008367273,0.006109967,0.0025537093,0.03713628
2016-01-01 04:00:00,0.0036780615,0.008795756,0.017721474,0.011307705,0.0024384256,0.014075855,0.005888688,0.019499753,0.06006154,0.0033659586,0.03234175,0.0035916618,0.03255891,0.14870028,0.06718179,0.03258577,0.005035223,0.0062664608,0.0035641468,0.065464154,0.0015292828,0.0011313042,0.0017790789,0.0035886732,0.0026193524,0.012347346,0.041934364,0.040753152,0.010007228,0.0019161565,0.010724662,0.006885103,0.0029591501,0.042569906
2016-01-01 05:00:00,0.0052475655,0.013267695,0.023165083,0.015947143,0.0040865247,0.019778403,0.0065918635,0.026344659,0.08532912,0.004817661,0.043556347,0.004464051,0.042842273,0.20405024,0.0906225,0.042806324,0.0070847594,0.009851696,0.0050425567,0.080636956,0.0020557884,0.0014713489,0.0024146694,0.005096618,0.0036592458,0.016417917,0.05893739,0.051579975,0.011715876,0.002644364,0.016450608,0.009391148,0.004112517,0.0574477
2016-01-01 06:00:00,0.0060906997,0.015608442,0.027387649,0.019245269,0.004935254,0.022986995,0.008023443,0.03092382,0.09991013,0.0055760993,0.052287802,0.005338435,0.051918916,0.23997995,0.105046734,0.04967663,0.008322622,0.01182055,0.005934049,0.09458583,0.0024578,0.0016867422,0.002894355,0.005967651,0.0043291464,0.01907805,0.068615496,0.061152842,0.01472126,0.0031235993,0.019588765,0.011261637,0.004814425,0.06640553
2016-01-01 07:00:00,0.0058701485,0.01511144,0.028046746,0.018736556,0.0049302154,0.022709768,0.008363837,0.030923914,0.10037474,0.0054869615,0.052798335,0.0052906005,0.04938692,0.23935679,0.10467749,0.050241977,0.008412821,0.011757689,0.005934526,0.09861974,0.0024168328,0.0016964548,0.0028840622,0.0057161967,0.004068922,0.019450797,0.06563678,0.06160131,0.015197837,0.0031082327,0.019054586,0.01086558,0.004829162,0.06476539
2016-01-01 08:00:00,0.005623137,0.013958269,0.027295817,0.01749827,0.004284976,0.021537757,0.008930928,0.030256672,0.09323509,0.0051105525,0.049948018,0.0052703433,0.048367582,0.22858433,0.099804305,0.04894241,0.007957316,0.010587275,0.005554515,0.09736292,0.0022283632,0.0016434167,0.0026999149,0.0054657888,0.0039354744,0.018117331,0.06330483,0.060125194,0.0152868,0.0028632134,0.017396774,0.010279143,0.0046378574,0.063750505
2016-01-01 09:00:00,0.005411055,0.013545782,0.02541315,0.016659644,0.004139142,0.020758605,0.008171747,0.028787358,0.08958002,0.0049160384,0.04640813,0.0049460954,0.046045344,0.21397004,0.09351678,0.04664093,0.0075659393,0.010208717,0.005238515,0.09220206,0.0020952066,0.0015759117,0.002543828,0.005289435,0.003784078,0.016726645,0.061110232,0.056211118,0.014032662,0.002695081,0.016847191,0.009757605,0.0044218795,0.061285056
2016-01-01 10:00:00,0.0051685097,0.012895283,0.023637487,0.015818357,0.0038691298,0.019762106,0.007424037,0.027271094,0.084750764,0.004694457,0.042888813,0.0047010365,0.044029262,0.2003764,0.08838608,0.04417227,0.0071382495,0.009584473,0.004914801,0.08626516,0.0019994804,0.0015042542,0.0024083052,0.0050662067,0.0036348945,0.015742403,0.058590617,0.05331371,0.012595869,0.0025669178,0.015966747,0.009327012,0.0041862214,0.05864376
2016-01-01 11:00:00,0.0049776277,0.012525826,0.02243277,0.0153909195,0.0037962089,0.018960383,0.0069262316,0.02640861,0.08136395,0.0044939728,0.04031765,0.0045628487,0.042698216,0.19053857,0.08373206,0.042174045,0.0068945223,0.00938362,0.004697997,0.081551634,0.0019316835,0.001426177,0.002349116,0.004901429,0.0035012797,0.014782111,0.05650038,0.051804986,0.011609009,0.0024784186,0.015559338,0.009018941,0.004048631,0.056426227
2016-01-01 12:00:00,0.0048753163,0.0122761205,0.021627007,0.014882018,0.0036948961,0.018430699,0.0065860567,0.025552684,0.07875072,0.0043671946,0.038577963,0.0043738587,0.041326836,0.18456286,0.08099963,0.04069929,0.0066590495,0.00913515,0.004556847,0.07796256,0.0018475687,0.0013756925,0.0022557369,0.004801459,0.0034230147,0.014160251,0.05534156,0.049552135,0.010883903,0.002377954,0.015212987,0.008710076,0.003919333,0.05500836
2016-01-01 13:00:00,0.00475342,0.011530803,0.02077268,0.014036543,0.003295239,0.017845793,0.0067331367,0.02446533,0.07445836,0.004200196,0.037024282,0.0042627594,0.040390033,0.17864081,0.078487016,0.03947233,0.006247531,0.008353829,0.0043371217,0.075801566,0.0017365654,0.0013498797,0.002116649,0.0046064355,0.003383348,0.01323604,0.053843863,0.04742058,0.010931539,0.002208079,0.014145829,0.008305282,0.0037128204,0.053700037
2016-01-01 14:00:00,0.0047912626,0.011563534,0.020698544,0.013937497,0.0032589033,0.017840693,0.0067453287,0.024410108,0.07386127,0.0041804933,0.03638763,0.0042531183,0.04032526,0.17838353,0.078038365,0.039288133,0.0061860927,0.008314284,0.004322721,0.075045355,0.0017014265,0.0013412802,0.002102059,0.0046309675,0.0034000308,0.012903826,0.05421829,0.04717015,0.01067175,0.0021651133,0.0141380755,0.00822175,0.003692337,0.053956512
2016-01-01 15:00:00,0.0048246826,0.011331436,0.020366,0.013902586,0.0030589828,0.017851196,0.0067741526,0.024305305,0.07275998,0.004187081,0.0360438,0.004347559,0.041233934,0.17848955,0.0787668,0.03935545,0.0060717156,0.007961972,0.004272928,0.074567474,0.0017188059,0.0013598274,0.002099961,0.004620982,0.003477337,0.01276038,0.054617055,0.047820076,0.010638156,0.0021620688,0.013757748,0.008315334,0.0036481144,0.054393537
2016-01-01 16:00:00,0.005030847,0.011833108,0.020938588,0.014195335,0.0031810335,0.018461823,0.007019114,0.024710776,0.07476817,0.004306958,0.036884364,0.0043556555,0.042414214,0.18467012,0.08058899,0.040189415,0.0061559845,0.008262976,0.0044199084,0.075995274,0.0017091759,0.0013878493,0.0020987685,0.004809417,0.0036311585,0.012687555,0.05686232,0.047241583,0.010894781,0.0021385662,0.014358546,0.0084417965,0.0037095507,0.056063566
2016-01-01 17:00:00,0.005217546,0.0124250045,0.021782525,0.014800834,0.0034497692,0.019021545,0.007121609,0.025437355,0.07741593,0.00445018,0.038278,0.0044303634,0.043546144,0.19263361,0.08329305,0.040949993,0.0063938242,0.008821381,0.0046355254,0.07661347,0.0017616625,0.0013998402,0.0021783744,0.004979633,0.0037499305,0.013149255,0.0587169,0.048233192,0.010981397,0.0022129978,0.01517404,0.008712517,0.0038356003,0.05736303
2016-01-01 18:00:00,0.00526188,0.012477717,0.021658609,0.014591669,0.0034445927,0.019019453,0.007085197,0.025124075,0.077027604,0.0044714226,0.03882367,0.0043141013,0.042797133,0.1943479,0.0839269,0.040563192,0.0063350406,0.008781267,0.0046584257,0.0750782,0.0017344654,0.0013905596,0.002131842,0.0049872547,0.003759448,0.01318326,0.05897129,0.04692047,0.01114429,0.0021837354,0.015180532,0.008596916,0.0038017717,0.057267763
2016-01-01 19:00:00,0.0052609304,0.012571955,0.021779893,0.01478942,0.0035407569,0.018975446,0.0070504937,0.02505125,0.07733834,0.004494678,0.039955933,0.0043026237,0.042799756,0.19655757,0.084746934,0.0402687,0.006376728,0.008930426,0.0047158743,0.07415999,0.0017686818,0.001376397,0.0021666463,0.004986158,0.003758898,0.013563067,0.058852892,0.04722689,0.0114742275,0.002236822,0.015359662,0.008701137,0.0038065214,0.056816645
2016-01-01 20:00:00,0.0051395237,0.012502021,0.021719858,0.01464534,0.0036389977,0.018688265,0.006863523,0.024423061,0.07718545,0.004432539,0.039709363,0.0041610515,0.04168861,0.1942862,0.08328072,0.039494365,0.0063062757,0.009042122,0.004704161,0.0734787,0.0017571247,0.0013457772,0.0021419094,0.0048865834,0.0036545289,0.01353005,0.057382405,0.04579179,0.011217602,0.0022080718,0.015382511,0.008532694,0.003734914,0.0550839
2016-01-01 21:00:00,0.004646313,0.0113373455,0.020021487,0.013573605,0.0033250842,0.017037595,0.006467834,0.022420835,0.070790805,0.0040346775,0.036991987,0.003921688,0.038713574,0.17748798,0.075947955,0.036300864,0.0057863323,0.008278691,0.0042958525,0.06861747,0.0016674633,0.0012356746,0.0020137334,0.0044345628,0.003322062,0.0124759255,0.05199323,0.043141384,0.010834737,0.0020568518,0.0140057225,0.007903513,0.0034183925,0.050088033
2016-01-01 22:00:00,0.0037265345,0.0091664195,0.016125077,0.011878353,0.0026518172,0.013864791,0.005155579,0.019292243,0.058358062,0.0032882933,0.029825829,0.0036302134,0.03424628,0.14110312,0.061774716,0.030518323,0.0048989,0.0067375093,0.003426323,0.058040097,0.0015225252,0.0010391242,0.0018417508,0.003664969,0.002728937,0.010515966,0.0425725,0.040719133,0.008801109,0.001874691,0.011376094,0.0070302463,0.0029016929,0.041827403
2016-01-01 23:00:00,0.00291456,0.006965797,0.013169164,0.009653341,0.001908268,0.0111307595,0.0044073234,0.016335374,0.04689183,0.0026045674,0.02327054,0.0032362628,0.028832225,0.11102729,0.049933657,0.025905775,0.0040418315,0.0050754542,0.0026690173,0.05081732,0.0013029727,0.0008867701,0.0015535844,0.0029031057,0.0021657122,0.008649902,0.033796106,0.036133558,0.00710983,0.0015752309,0.008597216,0.0058370796,0.0024139397,0.034621093
2016-01-02 00:00:00,0.0023490058,0.006357577,0.011449229,0.009253347,0.0015143028,0.010493445,0.004767939,0.01599161,0.045734346,0.0027091727,0.022984853,0.003480249,0.030383673,0.096972115,0.041133497,0.022058427,0.003641114,0.0045481646,0.0022006098,0.047205873,0.0012911396,0.0008243929,0.0015511133,0.0025687267,0.0018112778,0.008953227,0.03477189,0.037641943,0.006886232,0.001603143,0.0074434527,0.0058097607,0.002254274,0.036337566
2016-01-02 01:00:00,0.0024685096,0.006563476,0.012106477,0.009318366,0.0015837668,0.010989923,0.004989025,0.016227325,0.047837093,0.0028600595,0.024542782,0.0034443436,0.03016697,0.103004396,0.04411174,0.02317151,0.0037684592,0.0046381764,0.0023472484,0.049538452,0.0013063739,0.0008683104,0.0015527201,0.0026360296,0.0018810172,0.009602046,0.03562581,0.03760743,0.00737791,0.0016320137,0.007673049,0.005870672,0.002316521,0.037094746
2016-01-02 02:00:00,0.0024993948,0.006631078,0.012328929,0.009367432,0.0015664885,0.011231056,0.0051211365,0.016532687,0.048760645,0.0029246511,0.024938146,0.003488389,0.030504689,0.10449881,0.044905927,0.023729427,0.0038382537,0.004607889,0.002369081,0.050925132,0.0013227367,0.0008953863,0.0015647823,0.0026826086,0.0019211548,0.009863834,0.03630814,0.03805009,0.007497817,0.0016494296,0.007712176,0.0059476392,0.0023646194,0.037957307
2016-01-02 03:00:00,0.0027144304,0.007063378,0.0133906035,0.009797173,0.0016734771,0.011930657,0.005670507,0.017439274,0.051516578,0.00310027,0.027214205,0.0036529175,0.031744707,0.11401186,0.048816875,0.025374664,0.0040618326,0.0048845266,0.0025853827,0.054079287,0.001376776,0.0009429082,0.001647357,0.0028493132,0.0020608322,0.010392728,0.03849048,0.03981152,0.008328375,0.0017155794,0.008207746,0.006196119,0.0024998463,0.04013335
2016-01-02 04:00:00,0.0033916184,0.008935613,0.016377386,0.011148559,0.002357937,0.0142172845,0.0064835977,0.019519458,0.06178373,0.0037250991,0.033658188,0.0037173834,0.03399733,0.14198393,0.060027473,0.029689519,0.0047981204,0.0062536136,0.003324701,0.06117383,0.0015000572,0.0010658903,0.0017876804,0.003430442,0.0024586054,0.012284628,0.04525491,0.04111509,0.009767527,0.0018944355,0.010540444,0.006870038,0.0028958067,0.045508005
2016-01-02 05:00:00,0.0048870975,0.013438277,0.021569947,0.015758999,0.003983729,0.020017471,0.0072277985,0.026365276,0.087757215,0.0053182547,0.045071583,0.0046123643,0.044684213,0.19564533,0.08122882,0.039024957,0.0067833965,0.009810772,0.0047319066,0.07560707,0.0020344008,0.001391881,0.0024147532,0.0048882402,0.0034365798,0.016486755,0.06325255,0.05207454,0.011317213,0.0026089966,0.016217709,0.0093707675,0.004034017,0.061120898
2016-01-02 06:00:00,0.0057349517,0.015873242,0.026455631,0.01942918,0.0048587723,0.023623608,0.00925172,0.031819995,0.10469026,0.0062241107,0.05559385,0.005741967,0.05593664,0.23538856,0.09651337,0.046923667,0.0081544705,0.012035002,0.005705403,0.09306106,0.00247566,0.0016349322,0.0029830842,0.0057322658,0.0039776457,0.019484298,0.07455416,0.063770644,0.015093332,0.0031543935,0.019407403,0.011430827,0.004821789,0.07219962
2016-01-02 07:00:00,0.00553985,0.015377303,0.027125597,0.018851014,0.0048601623,0.023371842,0.009555746,0.031572998,0.105418056,0.0061644646,0.056513228,0.0056359177,0.05252193,0.23533253,0.09718532,0.04767307,0.00825449,0.01185738,0.0057357657,0.096899346,0.0024608283,0.0016526267,0.0029855757,0.00550803,0.0037950021,0.02019609,0.07097889,0.06407667,0.015522566,0.0031582378,0.018905725,0.011062635,0.0048311376,0.06987497
2016-01-02 08:00:00,0.0052607018,0.014259945,0.026301842,0.01756015,0.004222521,0.022164369,0.010168668,0.030810779,0.098507665,0.0057789404,0.05385693,0.0055374857,0.050958794,0.22466311,0.092886865,0.046316314,0.007822255,0.010612961,0.0053695915,0.09522505,0.0022735558,0.0015983811,0.0027822698,0.005272961,0.0036947324,0.018874105,0.06863789,0.062325068,0.015597083,0.0029162192,0.017280228,0.010484267,0.0046482673,0.068927765
2016-01-02 09:00:00,0.0050092707,0.013846457,0.024552995,0.01680325,0.004085781,0.021333419,0.009313408,0.029415494,0.09457453,0.0055518765,0.05004362,0.00524884,0.04869342,0.21037081,0.086150505,0.043672834,0.0074456576,0.010254138,0.005032092,0.089934714,0.0021543887,0.0015286882,0.0026455866,0.005110497,0.0035556797,0.01770288,0.0663321,0.058968563,0.014287024,0.0027635884,0.016756501,0.009996543,0.0044413805,0.06626666
2016-01-02 10:00:00,0.0047595142,0.0131769525,0.022949424,0.01587842,0.0038155254,0.020341212,0.0086628115,0.02790695,0.08963548,0.0052927164,0.046457373,0.004969347,0.04646163,0.19745906,0.08083596,0.04123245,0.0070216917,0.009622067,0.0047066263,0.08471906,0.0020331522,0.0014614334,0.002485459,0.0048923697,0.0034138893,0.016670823,0.06364757,0.055531435,0.013005703,0.002600685,0.015871773,0.009495996,0.0042089773,0.06349386
2016-01-02 11:00:00,0.0045744046,0.01279502,0.021807391,0.015450706,0.0037423712,0.019525504,0.008123036,0.02704129,0.086189695,0.0050648884,0.043598216,0.00481629,0.045092758,0.18781087,0.076362796,0.03922452,0.006778325,0.009438063,0.0044944277,0.08018211,0.0019545811,0.0013864546,0.0024083739,0.0047315042,0.0032806008,0.015683984,0.061415035,0.05391639,0.011893532,0.002508531,0.015461564,0.009173064,0.0040693935,0.06119557
2016-01-02 12:00:00,0.004476161,0.012546816,0.020923091,0.014859463,0.0036454597,0.018927477,0.00775376,0.026120698,0.08322186,0.0049114255,0.042034194,0.0045836526,0.043394793,0.18161929,0.07366829,0.03769805,0.0065498245,0.009152875,0.004347411,0.076351315,0.001870944,0.0013305807,0.0023031677,0.0046394956,0.003218516,0.0149852075,0.060092386,0.051072177,0.01150633,0.0023933514,0.015124811,0.008830179,0.0039426885,0.059590667
2016-01-02 13:00:00,0.0043516955,0.011799092,0.019960154,0.01411163,0.003248983,0.018309185,0.0077006966,0.02496352,0.07868211,0.004752089,0.040065434,0.0045118765,0.04263059,0.17506614,0.071286574,0.036339253,0.0061302125,0.008388937,0.0041197916,0.07335861,0.0017893906,0.0013046113,0.0021988715,0.0044467994,0.0031734223,0.014213093,0.05851557,0.049391445,0.011112378,0.0022632456,0.0140613215,0.008496626,0.0037254104,0.058028243
